Cite	Condition	Detailed comparison information	Regions	 Change type
	WT vs KO	M_4DNFII6AN691.hic_VS_4DNFIJ8JKKWJ.hic_reso_10000_chr10_53400000_54500000_0.5.txt	Chr10:53400000:54500000	Boundary-level change 
	WT vs KO	M_GSM3263085_RH_348.hic_VS_GSM3263087_RH_350.hic_reso_50000_chrchr13_55801210_58182661_0.5.txt	Chr13:55801210:58182661	Boundary-level change 
	WT vs KO	M_GSM3263085_RH_348.hic_VS_GSM3263090_RH_353.hic_reso_50000_chrchr13_55801210_58182661_0.5.txt	Chr13:55801210:58182661	Boundary-level change 
	WT vs KO	M_4DNFII6AN691.hic_VS_4DNFINEQY95T.hic_reso_10000_chr14_37700000_39700000_0.5.txt	Chr14:37700000:39700000	Boundary-level change 
	WT vs KO	M_4DNFII6AN691.hic_VS_4DNFIJ8JKKWJ.hic_reso_10000_chr5_24600000_26400000_0.5.txt	Chr5:24600000:26400000	Boundary-level change 
	WT vs KO	M_4DNFINEQY95T.hic_VS_4DNFIJ8JKKWJ.hic_reso_10000_chr5_24600000_26400000_0.5.txt	Chr5:24600000:26400000	Boundary-level change 
	WT vs KO	M_4DNFINEQY95T.hic_VS_4DNFIJ8JKKWJ.hic_reso_10000_chr5_11400000_13500000_0.5.txt	Chr5:11400000:13500000	Boundary-level change 
	WT vs KO	M_4DNFII6AN691.hic_VS_4DNFINEQY95T.hic_reso_10000_chr13_54500000_58500000_0.5.txt	Chr13:54500000:58500000	Boundary-level change 
	WT vs KO	M_4DNFII6AN691.hic_VS_4DNFIJ8JKKWJ.hic_reso_10000_chr5_11400000_13500000_0.5.txt	Chr5:11400000:13500000	Boundary-level change 
	HERV-H2-KO vs HERV-H-ins.clone1	M_4DNFII6AN691.hic_VS_4DNFINEQY95T.hic_reso_10000_chr5_11400000_13500000_0.5.txt	Chr5:11400000:13500000	Boundary-level change 
	HERV-H2-KO vs HERV-H-ins.clone1	M_4DNFII6AN691.hic_VS_4DNFIJ8JKKWJ.hic_reso_25000_chr4_91000000_95000000_0.5.txt	Chr4:91000000:95000000	Boundary-level change 
	HERV-H2-KO vs HERV-H-ins.clone1	M_4DNFII6AN691.hic_VS_4DNFIJ8JKKWJ.hic_reso_25000_chr13_54500000_58500000_0.5.txt	Chr13:54500000:58500000	Boundary-level change 
	HERV-H2-KO vs HERV-H-ins.clone1	M_4DNFINEQY95T.hic_VS_4DNFIJ8JKKWJ.hic_reso_25000_chr13_54500000_58500000_0.5.txt	Chr13:54500000:58500000	Boundary-level change 
	HERV-H2-KO vs HERV-H-ins.clone1	M_4DNFII6AN691.hic_VS_4DNFIJ8JKKWJ.hic_reso_25000_chr14_37700000_39700000_0.5.txt	Chr14:37700000:39700000	Boundary-level change 
	HERV-H2-KO vs HERV-H-ins.clone1	M_4DNFINEQY95T.hic_VS_4DNFIJ8JKKWJ.hic_reso_25000_chr14_37700000_39700000_0.5.txt	Chr14:37700000:39700000	Boundary-level change 
	HERV-H2-KO vs HERV-H-ins.clone1	M_4DNFINEQY95T.hic_VS_4DNFIJ8JKKWJ.hic_reso_50000_chr4_91000000_95000000_0.5.txt	Chr4:91000000:95000000	Boundary-level change 
	HERV-H2-KO vs HERV-H-ins.clone1	M_4DNFII6AN691.hic_VS_4DNFINEQY95T.hic_reso_50000_chr4_91000000_95000000_0.5.txt	Chr4:91000000:95000000	Boundary-level change 
Rowley et al. 2017	GM12878 vs NHEK	N_GSE63525_GM12878_insitu_primary_replicate_combined.hic_VS_GSE63525_NHEK_combined.hic_reso_10000_chr1_163500000_165000000_0.5.txt	Chr1:163500000:165000000	Domain-level change
	GM12878 vs K562	N_GSE63525_GM12878_insitu_primary_replicate_combined.hic_VS_GSE63525_K562_combined.hic_reso_10000_chr1_163500000_165000000_0.5.txt	Chr1:163500000:165000000	Domain-level change
	GM12878 vs IMR90	N_GSE63525_GM12878_insitu_primary_replicate_combined.hic_VS_GSE63525_IMR90_combined.hic_reso_10000_chr1_163500000_165000000_0.5.txt	Chr1:163500000:165000000	Domain-level change
